YEAR,STATE,SEX,AGE GROUP,REGISTRATIONS
2021,Johor,Female,Child,45514
2021,Johor,Female,Adolescent,183988
2021,Johor,Female,Adult,1106247
2021,Johor,Female,Elderly,221966
2021,Johor,Male,Child,48155
2021,Johor,Male,Adolescent,194353
2021,Johor,Male,Adult,1339029
2021,Johor,Male,Elderly,192523
2021,Kedah,Female,Child,17822
2021,Kedah,Female,Adolescent,105594
2021,Kedah,Female,Adult,557052
2021,Kedah,Female,Elderly,113929
2021,Kedah,Male,Child,18138
2021,Kedah,Male,Adolescent,106419
2021,Kedah,Male,Adult,560131
2021,Kedah,Male,Elderly,93507
2021,Kelantan,Female,Child,9565
2021,Kelantan,Female,Adolescent,82731
2021,Kelantan,Female,Adult,386259
2021,Kelantan,Female,Elderly,71646
2021,Kelantan,Male,Child,9471
2021,Kelantan,Male,Adolescent,79311
2021,Kelantan,Male,Adult,360292
2021,Kelantan,Male,Elderly,60384
2021,Melaka,Female,Child,9589
2021,Melaka,Female,Adolescent,45482
2021,Melaka,Female,Adult,264585
2021,Melaka,Female,Elderly,58561
2021,Melaka,Male,Child,9988
2021,Melaka,Male,Adolescent,47487
2021,Melaka,Male,Adult,290781
2021,Melaka,Male,Elderly,48662
2021,Negeri Sembilan,Female,Child,9840
2021,Negeri Sembilan,Female,Adolescent,55171
2021,Negeri Sembilan,Female,Adult,340875
2021,Negeri Sembilan,Female,Elderly,78130
2021,Negeri Sembilan,Male,Child,10278
2021,Negeri Sembilan,Male,Adolescent,57756
2021,Negeri Sembilan,Male,Adult,391848
2021,Negeri Sembilan,Male,Elderly,68219
2021,Pahang,Female,Child,16571
2021,Pahang,Female,Adolescent,70780
2021,Pahang,Female,Adult,373024
2021,Pahang,Female,Elderly,68193
2021,Pahang,Male,Child,17143
2021,Pahang,Male,Adolescent,72360
2021,Pahang,Male,Adult,433334
2021,Pahang,Male,Elderly,61363
2021,Perak,Female,Child,16639
2021,Perak,Female,Adolescent,104674
2021,Perak,Female,Adult,627386
2021,Perak,Female,Elderly,158979
2021,Perak,Male,Child,17458
2021,Perak,Male,Adolescent,107914
2021,Perak,Male,Adult,672738
2021,Perak,Male,Elderly,135220
2021,Perlis,Female,Child,1275
2021,Perlis,Female,Adolescent,11338
2021,Perlis,Female,Adult,68792
2021,Perlis,Female,Elderly,14319
2021,Perlis,Male,Child,1394
2021,Perlis,Male,Adolescent,11188
2021,Perlis,Male,Adult,66185
2021,Perlis,Male,Elderly,11875
2021,Pulau Pinang,Female,Child,19851
2021,Pulau Pinang,Female,Adolescent,75372
2021,Pulau Pinang,Female,Adult,555333
2021,Pulau Pinang,Female,Elderly,124176
2021,Pulau Pinang,Male,Child,20386
2021,Pulau Pinang,Male,Adolescent,80216
2021,Pulau Pinang,Male,Adult,607991
2021,Pulau Pinang,Male,Elderly,98600
2021,Sabah,Female,Child,14436
2021,Sabah,Female,Adolescent,127656
2021,Sabah,Female,Adult,753895
2021,Sabah,Female,Elderly,89246
2021,Sabah,Male,Child,14764
2021,Sabah,Male,Adolescent,125430
2021,Sabah,Male,Adult,750799
2021,Sabah,Male,Elderly,87308
2021,Sarawak,Female,Child,21607
2021,Sarawak,Female,Adolescent,116094
2021,Sarawak,Female,Adult,636603
2021,Sarawak,Female,Elderly,121911
2021,Sarawak,Male,Child,22356
2021,Sarawak,Male,Adolescent,116769
2021,Sarawak,Male,Adult,641566
2021,Sarawak,Male,Elderly,112495
2021,Selangor,Female,Child,68365
2021,Selangor,Female,Adolescent,305603
2021,Selangor,Female,Adult,2053264
2021,Selangor,Female,Elderly,331040
2021,Selangor,Male,Child,72379
2021,Selangor,Male,Adolescent,324979
2021,Selangor,Male,Adult,2509692
2021,Selangor,Male,Elderly,275909
2021,Terengganu,Female,Child,13104
2021,Terengganu,Female,Adolescent,61530
