YEAR,STATE,SEX,AGE,REGISTRATIONS
2021,Johor,female,0-12,45514
2021,Johor,female,12-17,183988
2021,Johor,female,18-24,227528
2021,Johor,female,25-29,157122
2021,Johor,female,30-34,146298
2021,Johor,female,35-39,142967
2021,Johor,female,40-44,125275
2021,Johor,female,45-49,114010
2021,Johor,female,50-54,101378
2021,Johor,female,55-59,91669
2021,Johor,female,60-64,77597
2021,Johor,female,65-69,59114
2021,Johor,female,70-74,41512
2021,Johor,female,75-79,20684
2021,Johor,female,80-84,14535
2021,Johor,female,85+,8524
2021,Johor,male,0-12,48155
2021,Johor,male,12-17,194353
2021,Johor,male,18-24,278486
2021,Johor,male,25-29,233877
2021,Johor,male,30-34,203968
2021,Johor,male,35-39,181801
2021,Johor,male,40-44,142921
2021,Johor,male,45-49,115412
2021,Johor,male,50-54,96640
2021,Johor,male,55-59,85924
2021,Johor,male,60-64,70952
2021,Johor,male,65-69,52810
2021,Johor,male,70-74,35759
2021,Johor,male,75-79,17551
2021,Johor,male,80-84,10762
2021,Johor,male,85+,4689
2021,Kedah,female,0-12,17822
2021,Kedah,female,12-17,105594
2021,Kedah,female,18-24,127106
2021,Kedah,female,25-29,73564
2021,Kedah,female,30-34,67357
2021,Kedah,female,35-39,67045
2021,Kedah,female,40-44,59955
2021,Kedah,female,45-49,57295
2021,Kedah,female,50-54,54618
2021,Kedah,female,55-59,50112
2021,Kedah,female,60-64,41726
2021,Kedah,female,65-69,30080
2021,Kedah,female,70-74,19972
2021,Kedah,female,75-79,11353
2021,Kedah,female,80-84,7081
2021,Kedah,female,85+,3717
2021,Kedah,male,0-12,18138
2021,Kedah,male,12-17,106419
2021,Kedah,male,18-24,131262
2021,Kedah,male,25-29,82362
2021,Kedah,male,30-34,74664
2021,Kedah,male,35-39,69687
2021,Kedah,male,40-44,57414
2021,Kedah,male,45-49,52283
2021,Kedah,male,50-54,48322
2021,Kedah,male,55-59,44137
2021,Kedah,male,60-64,36214
2021,Kedah,male,65-69,25735
2021,Kedah,male,70-74,16655
2021,Kedah,male,75-79,8223
2021,Kedah,male,80-84,4641
2021,Kedah,male,85+,2039
2021,Kelantan,female,0-12,9565
2021,Kelantan,female,12-17,82731
2021,Kelantan,female,18-24,103559
2021,Kelantan,female,25-29,53310
2021,Kelantan,female,30-34,46462
2021,Kelantan,female,35-39,40787
2021,Kelantan,female,40-44,35767
2021,Kelantan,female,45-49,37418
2021,Kelantan,female,50-54,35974
2021,Kelantan,female,55-59,32982
2021,Kelantan,female,60-64,27121
2021,Kelantan,female,65-69,18678
2021,Kelantan,female,70-74,12424
2021,Kelantan,female,75-79,7386
2021,Kelantan,female,80-84,4084
2021,Kelantan,female,85+,1953
2021,Kelantan,male,0-12,9471
2021,Kelantan,male,12-17,79311
2021,Kelantan,male,18-24,94832
2021,Kelantan,male,25-29,53307
2021,Kelantan,male,30-34,47826
2021,Kelantan,male,35-39,41635
2021,Kelantan,male,40-44,33711
2021,Kelantan,male,45-49,31427
2021,Kelantan,male,50-54,29770
2021,Kelantan,male,55-59,27784
2021,Kelantan,male,60-64,23699
2021,Kelantan,male,65-69,16428
2021,Kelantan,male,70-74,10976
2021,Kelantan,male,75-79,5791
2021,Kelantan,male,80-84,2419
2021,Kelantan,male,85+,1071
2021,Melaka,female,0-12,9589
2021,Melaka,female,12-17,45482
2021,Melaka,female,18-24,55758
2021,Melaka,female,25-29,37805
2021,Melaka,female,30-34,34770
2021,Melaka,female,35-39,34935
2021,Melaka,female,40-44,28535
2021,Melaka,female,45-49,25790
2021,Melaka,female,50-54,24016
2021,Melaka,female,55-59,22976
2021,Melaka,female,60-64,20230
2021,Melaka,female,65-69,15503
2021,Melaka,female,70-74,10717
2021,Melaka,female,75-79,6071
2021,Melaka,female,80-84,3975
2021,Melaka,female,85+,2065
2021,Melaka,male,0-12,9988
2021,Melaka,male,12-17,47487
2021,Melaka,male,18-24,63242
2021,Melaka,male,25-29,47666
2021,Melaka,male,30-34,42241
2021,Melaka,male,35-39,39428
2021,Melaka,male,40-44,31004
2021,Melaka,male,45-49,24963
2021,Melaka,male,50-54,21825
2021,Melaka,male,55-59,20412
2021,Melaka,male,60-64,18164
2021,Melaka,male,65-69,13182
2021,Melaka,male,70-74,8846
2021,Melaka,male,75-79,4675
2021,Melaka,male,80-84,2658
2021,Melaka,male,85+,1137
2021,Negeri Sembilan,female,0-12,9840
2021,Negeri Sembilan,female,12-17,55171
2021,Negeri Sembilan,female,18-24,68876
2021,Negeri Sembilan,female,25-29,47018
2021,Negeri Sembilan,female,30-34,45802
2021,Negeri Sembilan,female,35-39,45136
2021,Negeri Sembilan,female,40-44,38143
2021,Negeri Sembilan,female,45-49,33746
2021,Negeri Sembilan,female,50-54,31155
2021,Negeri Sembilan,female,55-59,30999
2021,Negeri Sembilan,female,60-64,29640
2021,Negeri Sembilan,female,65-69,22441
2021,Negeri Sembilan,female,70-74,13213
2021,Negeri Sembilan,female,75-79,6086
2021,Negeri Sembilan,female,80-84,4421
2021,Negeri Sembilan,female,85+,2329
2021,Negeri Sembilan,male,0-12,10278
2021,Negeri Sembilan,male,12-17,57756
2021,Negeri Sembilan,male,18-24,80842
2021,Negeri Sembilan,male,25-29,64064
2021,Negeri Sembilan,male,30-34,58939
2021,Negeri Sembilan,male,35-39,54589
2021,Negeri Sembilan,male,40-44,42906
2021,Negeri Sembilan,male,45-49,33885
2021,Negeri Sembilan,male,50-54,29418
2021,Negeri Sembilan,male,55-59,27205
2021,Negeri Sembilan,male,60-64,26491
2021,Negeri Sembilan,male,65-69,20677
2021,Negeri Sembilan,male,70-74,11838
2021,Negeri Sembilan,male,75-79,5031
2021,Negeri Sembilan,male,80-84,2879
2021,Negeri Sembilan,male,85+,1303
2021,Pahang,female,0-12,16571
2021,Pahang,female,12-17,70780
2021,Pahang,female,18-24,80573
2021,Pahang,female,25-29,52039
2021,Pahang,female,30-34,51858
2021,Pahang,female,35-39,49292
2021,Pahang,female,40-44,40127
2021,Pahang,female,45-49,35658
2021,Pahang,female,50-54,33000
2021,Pahang,female,55-59,30477
2021,Pahang,female,60-64,23801
2021,Pahang,female,65-69,17919
2021,Pahang,female,70-74,13258
2021,Pahang,female,75-79,6821
2021,Pahang,female,80-84,4420
2021,Pahang,female,85+,1974
2021,Pahang,male,0-12,17143
2021,Pahang,male,12-17,72360
2021,Pahang,male,18-24,90960
2021,Pahang,male,25-29,66538
2021,Pahang,male,30-34,65847
2021,Pahang,male,35-39,62132
2021,Pahang,male,40-44,48638
2021,Pahang,male,45-49,38024
2021,Pahang,male,50-54,32449
2021,Pahang,male,55-59,28746
2021,Pahang,male,60-64,22264
2021,Pahang,male,65-69,16077
2021,Pahang,male,70-74,12197
