YEAR,STATE,cases_unvax,cases_pvax,cases_fvax,cases_boost,cases_new,cases_import,cases_recovered,cases_active,cases_cluster,cases_child,cases_adolescent,cases_adult,cases_elderly,cases_0_4,cases_5_11,cases_12_17,cases_18_29,cases_30_39,cases_40_49,cases_50_59,cases_60_69,cases_70_79,cases_80
2020,Johor,5734,0,0,0,5734,143,2824,60460,4361,349,184,3988,563,152,197,184,1303,1278,790,617,385,132,46
2021,Johor,152171,36592,49975,468,239206,636,233138,3256072,63831,30623,13347,171225,18769,12752,17871,13347,70315,52854,29205,18851,11820,5027,1922
2022,Johor,24638,2785,53168,72252,152843,2206,155064,2111112,3852,19624,8694,106661,17751,8429,11195,8694,39872,33363,19710,13716,10144,5121,2486
2023,Johor,1183,36,1633,6272,9124,117,7140,743634,5,360,173,6436,2155,168,192,173,2150,2047,1340,899,741,666,748
2024,Johor,794,25,1244,3640,5703,23,7790,130834,5,344,295,4376,910,93,251,295,1428,1516,937,495,260,255,395
2020,Kedah,3024,0,0,0,3024,18,2873,40491,2735,166,114,2506,161,62,104,114,775,870,551,310,124,31,6
2021,Kedah,102187,26282,36428,465,165362,334,161654,1562076,18064,28821,14839,99861,15899,10883,17938,14839,38198,26737,19485,15441,10394,4051,1454
2022,Kedah,24606,2017,61972,61084,149679,2747,151135,1360521,2315,19589,8956,104765,16038,8797,10792,8956,39068,31913,19587,14197,9274,4563,2201
2023,Kedah,1306,49,2704,5037,9096,35,8321,-119116,329,424,449,6434,1789,188,236,449,2259,2188,1194,793,579,490,720
2024,Kedah,376,17,778,1341,2512,0,3457,-7476,0,158,128,1840,446,53,105,128,680,606,343,211,132,119,195
2020,Kelantan,758,0,0,0,758,19,497,7310,574,99,86,446,126,40,59,86,149,129,85,83,72,47,7
2021,Kelantan,95894,19166,52334,891,168285,267,163810,1684455,24375,31496,17313,98493,20025,12230,19266,17313,36648,27246,18264,16335,12664,5697,1664
2022,Kelantan,16139,931,47896,25831,90797,2145,94011,831371,2637,12077,7420,59158,12043,5212,6865,7420,21582,17147,11294,9135,6757,3669,1617
2023,Kelantan,1054,44,2926,2424,6448,22,5960,68019,316,392,592,4236,1228,138,254,592,1514,1344,838,540,448,298,482
2024,Kelantan,300,11,645,536,1492,5,2060,11316,0,133,111,1005,283,33,100,111,337,323,218,127,88,64,131
2020,Melaka,1225,0,0,0,1225,90,670,12996,961,45,50,809,66,17,28,50,374,218,135,82,46,13,7
2021,Melaka,47719,10154,16805,387,75065,214,73360,934806,24429,10151,4531,53880,6287,4326,5825,4531,22028,16815,9001,6036,4123,1641,523
2022,Melaka,9375,863,20364,37354,67956,1510,67153,1054626,3592,7745,4634,47818,7727,3539,4206,4634,18639,14946,8416,5817,4211,2258,1258
2023,Melaka,1376,57,2829,9924,14186,134,13923,570623,320,568,983,10568,2067,236,332,983,3566,3587,2210,1205,727,533,807
2024,Melaka,311,9,463,1764,2547,16,3523,72207,0,118,72,1977,445,50,68,72,681,651,393,252,157,103,185
2020,Negeri Sembilan,7828,0,0,0,7828,231,7107,74162,6429,232,273,6305,236,102,130,273,3044,2014,832,415,179,48,9
2021,Negeri Sembilan,74862,12382,18163,329,105736,222,103692,1202649,24114,14851,6937,70412,9298,6020,8831,6937,27240,21656,12693,8823,6257,2189,852
2022,Negeri Sembilan,14895,2148,36261,63695,116999,918,118086,1218516,4501,13738,9265,83650,10238,5183,8555,9265,29467,27846,16170,10167,6452,2584,1202
2023,Negeri Sembilan,867,34,1811,5826,8538,39,7501,103103,478,410,654,6278,1196,172,238,654,2072,2225,1233,748,440,294,462
2024,Negeri Sembilan,272,8,435,1410,2125,0,3202,20168,17,132,96,1561,400,44,88,96,505,575,304,177,132,100,168
2020,Pahang,1365,0,0,0,1365,22,842,15549,1163,39,48,772,53,15,24,48,268,261,132,111,33,16,4
2021,Pahang,54283,11086,28195,417,93981,158,91198,1199242,25414,17543,7504,60115,7902,6654,10889,7504,22254,18574,11206,8081,5162,2137,603
2022,Pahang,16416,1361,33737,35517,87031,1357,88715,1043612,1472,13475,5486,58921,9056,5947,7528,5486,21292,19538,10751,7340,5121,2713,1222
2023,Pahang,642,31,1630,3031,5334,24,4843,234932,68,257,235,3942,900,101,156,235,1299,1420,777,446,322,249,329
2024,Pahang,167,16,369,647,1199,1,1766,33604,0,81,63,895,189,26,55,63,307,311,188,89,64,43,82
2020,Perak,3195,0,0,0,3195,31,2883,27970,2766,129,171,2581,289,55,74,171,1139,842,382,218,202,64,23
2021,Perak,75403,18497,31293,651,125844,274,122946,1247811,31184,14757,7954,83736,15378,5873,8884,7954,32716,24492,14759,11769,9481,4325,1572
2022,Perak,16193,2285,35183,55780,109441,2132,110055,1075241,2135,13086,6666,71806,17800,6055,7031,6666,25860,21312,13429,11205,9225,5539,3036
2023,Perak,1195,52,2476,5380,9103,36,8453,203768,688,429,667,5605,2402,182,247,667,1904,1734,1142,825,780,732,890
2024,Perak,229,13,466,840,1548,3,2273,28029,149,92,151,929,412,36,56,151,317,308,170,134,128,123,161
2020,Perlis,46,0,0,0,46,4,43,799,14,3,2,30,10,1,2,2,11,8,4,7,6,3,1
2021,Perlis,3041,754,3303,25,7123,37,6738,85417,625,1102,427,4567,1011,445,657,427,1558,1504,835,670,590,304,117
2022,Perlis,2024,175,6395,3196,11790,154,11943,130473,512,1543,544,8109,1587,705,838,544,2957,2600,1454,1098,817,513,257
2023,Perlis,172,14,514,461,1161,6,1048,23301,32,57,76,738,290,24,33,76,260,229,159,90,90,76,124
2024,Perlis,68,4,188,176,436,0,539,4570,0,22,26,293,109,8,14,26,84,97,69,43,30,27,52
